u,v,length_m
391022972,3672931642,113.20711098691237
391023510,678989831,95.18122735029661
391023510,678989832,78.8159687110961
434288150,434288204,93.71726631058145
434288151,434289054,216.2757323351554
434288151,434288215,85.69277596229598
434288151,434289053,77.04170545882326
434288151,2980275499,6.391218961974041
434288204,434288206,25.499755541678045
434288204,434289059,26.677407126064182
434288206,434288301,77.50306385298859
434288206,434288208,109.35787371857737
434288206,434289059,22.666839143717397
434288208,434288215,82.7836693472296
434288208,434288997,77.37802682161295
434288215,434289050,76.49592808276452
434288301,434288997,115.29901763681862
434288301,434288316,86.16537919887223
434288571,434288997,77.30414962281756
434288571,434289035,82.60966175148626
434288997,434289050,81.26671016614742
434289035,434289050,93.70299265027978
434289035,1579083033,46.88537090950267
434289050,1579083034,43.094351864277144
434289053,1579083033,121.95973286472648
434289053,1579083034,44.14212755829501
434289054,1273464952,49.4275443277788
434289054,1405227825,8.194050839109016
434289057,434289058,139.52947923799704
434289057,1273464952,55.7589359593978
434289057,1838358297,41.75650073211237
434289058,434289059,71.57602165934449
434289058,1273591094,55.11837673757453
434289080,434289086,94.12845098523397
434289080,434289087,103.16782416755605
434289084,4346146371,65.97288778394494
434289084,434289085,77.0683183862966
434289084,1838358306,41.745546851425445
434289085,1838358302,40.169203198833785
434289085,434289086,139.62892037906778
434289085,2603948895,105.15522101351033
434289086,1273591094,52.520710031991875
434289086,434289087,69.78189417617122
434289092,434289093,126.54857382010584
434289092,2603948895,124.3655470829942
434289092,1405227860,116.58620750301142
434289092,4346146371,124.78740728770799
434289093,1192945730,118.36194412806276
434289093,1717282343,50.17986641983455
434289101,4344559506,10.300976685378025
434289101,4381412246,64.18975558794895
434289101,434289131,69.77037653737749
434289101,4344559505,39.35614828115239
434289102,1815623560,186.32900553116247
434289131,2676306773,153.19304780091198
434289131,1815623560,45.52257289945746
434289137,678989761,6.752242695441266
434289137,3672893676,9.576772949264917
434289137,678989748,80.04628679258133
434289137,678989751,86.59291228276477
434289145,434289146,90.73226987549478
434289145,678989797,28.703946353256626
434289146,434289246,34.731935799701986
434289147,678989790,75.83340648715269
434289147,678989797,65.8654116504454
434289147,434289246,26.2003244231555
434289246,434289247,173.94472243639157
434289247,434289248,44.591273196649915
434289247,2603948896,157.0652950080467
434289248,434289249,56.916544972847426
459319088,6138289266,57.04946553495538
459457168,10028035064,33.758033006700714
459457168,459457260,34.35300511692784
459457260,4884495900,167.90580247788895
