u,v,length_m
412189143,412189143,279.3431228993373
412189173,412189175,12.546204124249396
412189175,412189224,54.10473780526831
412189175,412189178,70.75268383116129
412189178,412189179,28.48529584146388
412189179,412189180,86.70429436339057
412189179,4172468624,11.68154500630628
412189179,412189220,51.28991897624191
412189180,5874072762,190.38053171657498
412189180,412189198,142.78714141199953
412189184,5874072909,99.347951019549
412189184,4172468621,55.299331125895414
412189186,5874072908,95.48503437723922
412189186,412189192,21.022982517661266
412189186,1273607335,55.175175712984284
412189190,412189192,5.3691251903193855
412189190,4356497992,88.40669744217293
412189192,416638961,147.26282335419864
412189198,412189199,36.90512466756293
412189199,412189214,59.88569858345927
412189199,412189200,133.05928178010512
412189214,412189216,80.43958782036194
412189214,412189215,73.83968389248321
412189215,4356489167,155.80796462851225
412189215,4138998030,81.83618002698715
412189216,412189217,129.3652632242364
412189216,412189220,176.8915078042393
412189217,5874072920,36.17244709616641
412189217,412189223,70.5297198222991
412189220,412189222,33.29715171813852
412189222,412189230,42.30230648907111
412189222,5874072920,10.778530551653606
412189223,4172468622,108.04999257875716
412189223,4356489167,53.352845589892965
412189224,412189226,102.59689240342264
412189224,412189230,99.99068122903793
412189226,4172468623,60.80607464642188
412189230,5874072919,13.152546086712956
412191356,412191358,28.493074788842762
412191356,412191405,26.916197875957543
412191358,412191405,29.998740425740813
412191358,412191365,52.60991100793845
412191365,412191376,125.96171527112953
412191365,412191389,167.53247906405966
412191376,412191389,86.89521324109327
412191389,412191444,52.59739936480919
412191405,412191417,70.67825983320756
412191417,412191437,52.68087695820053
412191417,412191421,75.66456093408989
412191421,412191427,192.58396974690305
412191427,412191429,53.56910319911877
412191427,412191453,52.213993625843955
