longitude;latitude;YEAR;DISTRITO;MODALIDAD;ID
-77.01763653;-12.14162111;2016;Barranco;ROBO AGRAVADO A MANO ARMADA;20246745.0
-77.02546842;-12.13734873;2016;Barranco;ROBO AGRAVADO A MANO ARMADA;20253789.0
-77.02504136;-12.14703566;2016;Barranco;ROBO AGRAVADO A MANO ARMADA;20257260.0
-77.02035657;-12.14713087;2016;Barranco;ROBO AGRAVADO A MANO ARMADA;20291481.0
-77.02077773;-12.13816046;2016;Barranco;ROBO AGRAVADO A MANO ARMADA;20304303.0
-77.01956867;-12.15372126;2016;Barranco;ROBO AGRAVADO A MANO ARMADA;20371728.0
-77.01883281;-12.13619767;2016;Barranco;ROBO AGRAVADO A MANO ARMADA;20388846.0
-77.02260517;-12.15151667;2016;Barranco;ROBO AGRAVADO A MANO ARMADA;20438571.0
-77.02167294;-12.1548352;2016;Barranco;ROBO AGRAVADO A MANO ARMADA;20471904.0
-77.01855261;-12.15257547;2016;Barranco;ROBO AGRAVADO A MANO ARMADA;20488218.0
-77.02267207;-12.1536882;2016;Barranco;ROBO AGRAVADO A MANO ARMADA;20600598.0
-77.02076863;-12.14227461;2016;Barranco;ROBO AGRAVADO A MANO ARMADA;20617638.0
-77.02260368;-12.15147634;2016;Barranco;ROBO AGRAVADO A MANO ARMADA;20705268.0
-77.02097062;-12.15381314;2016;Barranco;ROBO AGRAVADO A MANO ARMADA;20803857.0
-77.01904189;-12.14649175;2016;Barranco;ROBO AGRAVADO A MANO ARMADA;20899002.0
-77.01900974;-12.14523253;2016;Barranco;ROBO AGRAVADO A MANO ARMADA;20982141.0
-77.02180597;-12.15570229;2016;Barranco;ROBO AGRAVADO A MANO ARMADA;21133872.0
-77.02291064;-12.15535193;2016;Barranco;ROBO AGRAVADO A MANO ARMADA;21150819.0
-77.0205986;-12.14220541;2016;Barranco;ROBO AGRAVADO A MANO ARMADA;21196830.0
-77.01919227;-12.14323462;2016;Barranco;ROBO AGRAVADO A MANO ARMADA;21276012.0
-77.0192573;-12.14639352;2016;Barranco;ROBO AGRAVADO A MANO ARMADA;21386748.0
-77.02278236;-12.15371806;2016;Barranco;ROBO AGRAVADO A MANO ARMADA;21390687.0
